  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727937 24222 200801010053 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   31 1033.1 30.49 1010.1 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010153 030   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   31 1032.5 30.47 1009.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010253 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   32 1032.2 30.46 1009.1 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010353 100   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1031.8 30.45 1008.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010453 100   6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   36   27 1031.4 30.44 1008.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010553 090   5 *** 110 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   37   25 1030.9 30.43 1008.1  39  34  0.00 ***** ***** ***** **
727937 24222 200801010653 110   5 *** 110 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   37   24 1030.3 30.41 1007.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010753 120   6 *** 110 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   37   23 1029.3 30.38 1006.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  42  32 ***** *****  0.01 ***** **
727937 24222 200801010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 24222 200801010853 130   6 *** 100 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   39   22 1028.3 30.36 1005.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801010953 120   7 *** 110 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   39   22 1027.5 30.33 1004.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011053 120   6 *** 120 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   39   21 1027.1 30.32 1004.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011153 110   8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   40   21 1026.8 30.31 1004.1  40  37  0.00 *****  0.01 ***** **
727937 24222 200801011253 100   7 *** 110 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   40   21 1026.3 30.29 1003.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011353 100  13 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   41   22 1024.5 30.24 1001.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011453 120   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   23 1024.0 30.22 1001.1 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011553 120   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   40   24 1023.3 30.21 1000.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011653 130   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   22 1023.0 30.20 1000.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011753 130   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   42   23 1022.9 30.19 1000.1  42  40  0.00 ***** ***** ***** **
727937 24222 200801011853 130   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   44   22 1022.4 30.18  999.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801011953 140   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   46   22 1021.7 30.16  999.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801012053 150   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   47   22 1020.6 30.13  998.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801012153 120   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   47   22 1019.2 30.09  996.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801012253 130   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   46   21 1018.6 30.07  996.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801012349 200  10 ***  22 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   39   34 ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 24222 200801012353 120   6 *** 150 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   44   21 1018.4 30.06  995.8  47  42  0.00 ***** ***** ***** **
727937 24222 200801020053 120   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   44   21 1017.4 30.03  994.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020153 120   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   42   20 1016.5 30.01  994.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020253 120   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   19 1015.8 29.99  993.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020353 120   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   19 1014.8 29.96  992.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020453 130   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   18 1014.1 29.94  991.8 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020553 150   8 ***  95 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   42   18 1014.0 29.93  991.5  45  41  0.00 ***** ***** ***** **
727937 24222 200801020653 110   8 ***  95 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   42   18 1012.5 29.89  990.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020753 150  14 *** 100 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   44   17 1012.7 29.90  990.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  47  37 ***** *****  0.00 ***** **
727937 24222 200801020853 170   9 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   43   21 1012.8 29.90  990.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801020953 180  10  25  34 OVC * * *  9.1 ** ** ** ** 61 ** ** ** *   43   30 1013.2 29.91  990.8 *** ***  0.01 ***** ***** ***** **
727937 24222 200801021050 180  15  24  28 OVC * * *  5.0 ** ** ** ** 62 ** ** ** *   43   36 ****** 29.91  990.8 *** ***  0.07 ***** ***** ***** **
727937 24222 200801021053 180  11 ***  26 OVC * * *  4.0 ** ** ** ** 62 ** ** ** *   42   36 1013.2 29.91  990.8 *** ***  0.07 ***** ***** ***** **
727937 24222 200801021153 160  16 ***  26 OVC * * *  3.0 ** ** ** ** 62 ** ** ** *   40   34 1012.7 29.89  990.2  45  40  0.11  0.18  0.18 ***** **
727937 24222 200801021253 140  11  21  26 OVC * * *  5.0 ** ** ** ** 61 10 ** ** *   40   36 1011.7 29.86  989.2 *** ***  0.08 ***** ***** ***** **
727937 24222 200801021353 140  10  22  26 OVC * * *  7.0 ** ** ** ** 61 ** ** ** *   38   35 1011.4 29.86  989.2 *** ***  0.06 ***** ***** ***** **
727937 24222 200801021453 150  14 ***  19 OVC * * *  4.0 61 10 ** ** 61 10 ** ** *   38   35 1012.6 29.89  990.2 *** ***  0.03 ***** *****  0.17 **
727937 24222 200801021523 150  15 ***  18 OVC * * *  9.1 61 ** ** ** 61 ** ** ** *   37   36 ****** 29.88  989.8 *** ***  0.01 ***** ***** ***** **
727937 24222 200801021527 150  16 ***   5 OVC * * * 10.0 61 ** ** ** 61 ** ** ** *   37   36 ****** 29.88  989.8 *** ***  0.01 ***** ***** ***** **
727937 24222 200801021537 150  15 ***   3 OVC * * *  9.1 ** ** ** ** ** ** ** ** *   37   36 ****** 29.88  989.8 *** ***  0.01 ***** ***** ***** **
727937 24222 200801021551 150  16  22   3 OVC * * *  1.0 ** ** ** ** 10 ** ** ** *   37   36 ****** 29.88  989.8 *** *** ***** ***** ***** ***** **
727937 24222 200801021553 150  16 ***   3 OVC * * *  1.0 10 ** ** ** 10 ** ** ** *   38   36 1012.2 29.88  989.8 *** ***  0.00T***** ***** ***** **
727937 24222 200801021651 160  16 ***   3 OVC * * *  2.0 ** ** ** ** 10 ** ** ** *   39   37 ****** 29.89  990.2 *** *** ***** ***** ***** ***** **
727937 24222 200801021653 160  16 ***   3 OVC * * *  2.0 10 ** ** ** 10 ** ** ** *   39   37 1012.7 29.89  990.2 *** ***  0.00 ***** ***** ***** **
727937 24222 200801021751 160   9 ***   7 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   41   37 ****** 29.92  991.2 *** *** ***** ***** ***** ***** **
727937 24222 200801021753 160  10 ***   7 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   41   38 1013.7 29.92  991.2  41  37  0.00  0.18 ***** ***** **
727937 24222 200801021843 170  15 *** 100 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   43   39 ****** 29.93  991.5 *** *** ***** ***** ***** ***** **
727937 24222 200801021853 160  17 *** 100 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   42   39 1013.7 29.93  991.5 *** ***  0.00 ***** ***** ***** **
727937 24222 200801021953 170  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   44   39 1012.5 29.89  990.2 *** ***  0.00 ***** ***** ***** **
