  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727937 ***** 199901010000 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010053 360   9 ***  59 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   36 1022.6 30.19 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010100 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010153 990   3 ***  42 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   37 1023.8 30.22 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010200 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010253 990   5 ***  45 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   36 1024.4 30.24 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010300 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010353 990   5 ***  49 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   36 1025.5 30.27 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010400 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010453 ***   0 ***  49 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   36 1026.5 30.31 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010500 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010553 ***   0 ***  15 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   41   39 1027.2 30.33 ******  44  41 ***** ***** ***** ***** **
727937 ***** 199901010600 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010653 ***   0 ***  59 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   39   37 1028.3 30.36 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010700 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199901010753 130   6 *** 722 SCT * * * 10.0 00 ** ** ** ** ** ** ** *   39   37 1028.9 30.38 ******  49  40 ***** ***** ***** ***** **
727937 ***** 199901010800 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
