  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 198701010000 180   8 ***  59 OVC * * * 30.0 00 ** ** ** ** ** ** ** *   50   31 1011.4 29.86 ******  50 *** *****  0.00 ***** ***** **
727976 24217 198701010100 160  11  21  59 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   50   34 1010.4 29.83 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010200 170  17  23 722 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   50   34 1009.3 29.80 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010300 160  15  21  49 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   50   33 1008.9 29.79 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010400 170  17  31  49 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   51   33 1007.5 29.75 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010500 160  15  23  79 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   50   34 1006.5 29.72 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010600 160  17  29  79 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   50   35 1005.5 29.69 ******  51 *** *****  0.00 ***** ***** **
727976 24217 198701010700 170  15 ***  49 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   50   35 1005.1 29.68 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010800 160  15  25  25 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   48   37 1003.7 29.64 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701010900 190  11 ***  40 OVC * * * 10.0 63 ** ** ** ** ** ** ** *   47   37 1002.5 29.60 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011000 210   5 ***  79 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   45   38 1001.4 29.57 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011100 180  13 ***  59 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   47   38 1001.1 29.56 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011200 150  17  29  69 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   47   39 1000.7 29.55 ****** ***  45 *****  0.04  0.04 ***** **
727976 24217 198701011300 170  17  23  69 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   47   39 1000.7 29.55 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011400 170  16 ***  69 BKN * * * 10.0 00 ** ** ** ** ** ** ** *   46   39 1001.1 29.56 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011500 180  17  29  59 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   47   40 1001.4 29.57 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011600 180  16  26  20 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   47   41 1001.7 29.58 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011700 190  16  28  22 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   45   42 1003.1 29.62 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011800 200  15 ***  20 OVC * * *  7.0 63 ** ** ** ** ** ** ** *   42   39 1004.5 29.66 ****** ***  34 *****  0.16 ***** ***** **
727976 24217 198701011900 190  14 ***  34 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   46   42 1004.5 29.66 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701011930 190  14 ***  15 OVC * * *  7.0 61 ** ** ** ** ** ** ** * **** **** ****** 29.66 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701012000 210  14 ***  15 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   46   42 1004.5 29.66 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701012100 190  13 ***  15 BKN * * * 10.0 61 ** ** ** ** ** ** ** *   46   42 1004.5 29.66 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701012200 190   7 *** 128 BKN * * * 10.0 00 ** ** ** ** ** ** ** *   46   42 1004.5 29.66 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701012300 220   7 *** 128 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   46   42 1004.8 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020000 170   6 ***  34 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   45   42 1005.4 29.69 ******  47 *** *****  0.16 ***** ***** **
727976 24217 198701020100 190   8 ***  34 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   46   41 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020200 200   9 ***  34 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   46   41 1007.2 29.74 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020300 190  17 ***  16 OVC * * *  5.0 63 ** ** ** ** ** ** ** *   44   42 1008.5 29.78 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020400 160  14 ***  98 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   44   41 1009.1 29.80 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020500 220  11 ***  31 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   44   42 1010.6 29.84 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020510 230  15 ***  20 OVC * * *  7.0 65 ** ** ** ** ** ** ** * **** **** ****** 29.85 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020600 210  15 ***  30 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   44   40 1011.5 29.87 ******  47 *** *****  0.28 ***** ***** **
727976 24217 198701020700 190  14 ***  34 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   45   41 1012.9 29.91 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020800 190  10 ***  27 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   45   41 1013.7 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701020900 180   6 ***  39 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   46   40 1014.1 29.94 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021000 190   8 ***  27 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   45   40 1014.8 29.96 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021100 180  13 ***  25 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   45   41 1015.1 29.97 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021200 190  11 ***  27 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   45   41 1014.8 29.96 ****** ***  42 *****  0.04  0.67 ***** **
727976 24217 198701021300 180  15  23  21 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   45   39 1013.8 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021400 190  15  24  20 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   44   39 1014.1 29.94 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021500 190  16  26  20 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   44   39 1013.8 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021600 160  16  23  25 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   45   39 1014.1 29.94 ****** *** *** ***** ***** ***** ***** **
727976 24217 198701021700 170  14  29  39 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   45   39 1014.5 29.95 ****** *** *** ***** ***** ***** ***** **
